Superficie construida,Habitaciones,Baños,Estado,Armarios empotrados,Calefacción,Distrito,Precio,Terraza_Balcon
208.0,4.0,3.0,1.0,1.0,4.0,9.0,1300000.0,3.0
305.0,6.0,3.0,0.0,0.0,6.0,9.0,1000000.0,2.0
110.0,3.0,3.0,1.0,1.0,4.0,3.0,480000.0,1.0
127.0,3.0,2.0,1.0,0.0,7.0,14.0,575000.0,2.0
391.0,4.0,4.0,1.0,1.0,6.0,3.0,1250000.0,3.0
98.0,2.0,2.0,1.0,1.0,6.0,3.0,365000.0,3.0
290.0,5.0,3.0,1.0,0.0,4.0,5.0,1495000.0,2.0
251.0,4.0,3.0,0.0,1.0,6.0,6.0,900000.0,3.0
264.0,4.0,3.0,1.0,1.0,6.0,9.0,850000.0,3.0
225.0,3.0,2.0,1.0,1.0,2.0,4.0,1250000.0,2.0
127.0,3.0,2.0,1.0,0.0,4.0,14.0,575000.0,2.0
122.0,2.0,2.0,1.0,0.0,1.0,7.0,575000.0,3.0
146.0,4.0,2.0,1.0,1.0,2.0,6.0,540000.0,2.0
118.0,3.0,2.0,1.0,0.0,3.0,3.0,475000.0,1.0
297.0,5.0,3.0,1.0,1.0,6.0,6.0,795000.0,3.0
110.0,2.0,2.0,1.0,1.0,6.0,9.0,350000.0,2.0
115.0,2.0,2.0,1.0,1.0,4.0,5.0,600000.0,3.0
218.0,3.0,3.0,1.0,1.0,7.0,3.0,990000.0,3.0
290.0,5.0,3.0,1.0,1.0,2.0,5.0,1495000.0,2.0
368.0,6.0,6.0,1.0,1.0,5.0,3.0,1575000.0,2.0
130.0,2.0,2.0,1.0,1.0,6.0,3.0,870000.0,2.0
105.0,3.0,2.0,1.0,1.0,3.0,1.0,350000.0,2.0
148.0,3.0,2.0,1.0,1.0,4.0,7.0,550000.0,1.0
116.0,2.0,2.0,1.0,0.0,3.0,7.0,575000.0,3.0
155.0,5.0,2.0,1.0,1.0,7.0,2.0,285000.0,1.0
155.0,5.0,2.0,1.0,1.0,7.0,2.0,285000.0,1.0
148.0,3.0,2.0,1.0,1.0,4.0,7.0,550000.0,1.0
210.0,6.0,2.0,1.0,1.0,4.0,7.0,480000.0,2.0
284.0,5.0,3.0,1.0,1.0,4.0,6.0,940000.0,3.0
225.0,3.0,2.0,1.0,1.0,6.0,5.0,1300000.0,0.0
132.0,3.0,2.0,1.0,0.0,7.0,3.0,480000.0,1.0
105.0,3.0,2.0,1.0,1.0,7.0,10.0,235000.0,1.0
