id_inmueble,Superficie construida,Superficie útil,Habitaciones,Baños,Terraza,Balcón,Plaza de garaje,Estado,Armarios empotrados,Calefacción,Orientación,Calefacción individual,Consumo,Emisiones,Barrio,Distrito,Precio,Calefacción central,3
104944813,208.0,184.0,4 habitaciones,3 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación este, oeste",Eléctrica,,,Barrio El Pla del Remei,Distrito L'Eixample,1300000,,
104959210,305.0,260.0,6 habitaciones,3 baños,Terraza,,Plaza de garaje incluida en el precio,,,,Orientación este,Gas natural,,,Barrio El Pla del Remei,Distrito L'Eixample,1000000,,
104714328,110.0,100.0,3 habitaciones,3 baños,,Balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,,"Orientación sur, oeste",Eléctrica,,,Barrio Penya-Roja,Distrito Camins al Grau,480000,,
103775524,127.0,125.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje incluida en el precio,Segunda mano/buen estado,,No dispone de calefacción,"Orientación norte, sur, oeste",,,,Barrio Ciutat de les Arts i de les Ciencies,Distrito Quatre Carreres,575000,,
104836355,391.0,291.0,4 habitaciones,4 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,,"Orientación norte, sur, este, oeste",Gas natural,130 kWh/m² año,33 kg CO2/m² año,Barrio Penya-Roja,Distrito Camins al Grau,1250000,,
104743405,98.0,,2 habitaciones,,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,,Orientación sur,Gas natural,192 kWh/m² año,32 kg CO2/m² año,Barrio Penya-Roja,Distrito Camins al Grau,365000,,
104162977,290.0,275.0,5 habitaciones,3 baños,Terraza,,,Segunda mano/buen estado,,,"Orientación sur, este",Eléctrica,,,Barrio Sant Francesc,Distrito Ciutat Vella,1495000,,
102838829,251.0,176.0,4 habitaciones,3 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,,Armarios empotrados,,Orientación este,Gas natural,74 kWh/m² año,13 kg CO2/m² año,Barrio Exposició,Distrito El Pla del Real,900000,,
96463869,264.0,221.0,4 habitaciones,3 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación norte, sur",Gas natural,2882 kWh/m² año,878 kg CO2/m² año,Barrio El Pla del Remei,Distrito L'Eixample,850000,,
104392000,225.0,163.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción central,,,50 kWh/m² año,15 kg CO2/m² año,Barrio Sant Pau,Distrito Campanar,1250000,,
103771127,127.0,122.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje incluida en el precio,Segunda mano/buen estado,,,"Orientación norte, este",Eléctrica,,,Barrio Ciutat de les Arts i de les Ciencies,Distrito Quatre Carreres,575000,,
